setzen,seat
werde ,will
wartet,waiting
rein ,through
vorstellen ,introduce
auch,also
freut ,pleased
nehmen,take
uber ,always
wirklich,really
letze,last
schwaen,strength
starken,weakness
ungeduldig,impatient
alles,everything
gesprach,interview
lieter,leader
pausenraum,lunchroom
gliechfalls,same to you
stunde,lesson
uber,about
paar,couple
irgendwann,someday
eile,hurry
kurzlick,recently
getrennt,separated
von,from
gepasst,fit
schluss,anymore
fertig,finish
reisebus,coach
lass uns,lets
spass, fun
schatz, dear
warte,wait
draussen,outside
sorge,worried
wird ,will
auch,too
vertrauen ,trust
anderes,other/else
tun, to do
hoffentlich,hoopefully
sonst,or/otherwise
vorsichtig,carefully
weit,ready
zelt ,tent
scherz,sorry
keine sorgen ,sorry
klassekamraden,classmates
vorne , over there/in front of
stehen ,stand
da ,there
klassenfahrt,class trip
auf ,during
weiderhole,repeat
nochmal,once again
verspreche,promise
begleiten,accompany
peinlich,embarassing
wegfahren,drive away
uns ,each other
bis dann ,see you
jetzt,now
vollzahlig,complete
etwa ,about
einsteigen,get in
platz,space/seat
sucht ,search
dauert ,takes
vergessen, to forgot
schenll ,fast/quicly
hinterher,after/follow
schaffe,manage
einzuholen,catch up
ich freue mich auf die klassenfahrt ,i'm looking forward to the class trip
anhalten ,stop (bus)
aber ,but
weiterfahren,continue driving
witzig,funny
allsteigen ,get out
zeltplatz,campsite
gemeinsam,together
zum,to the
gleich,almost
aufschlagen,open
lagerfeuer,campfire
zu,to
idee,idea
streich,prank
benehmen,behave
spielverderberin ,spoilsport
sein,be
leise,quiet
lass,let
schutten ,pour
alleine,alone
verruckt,crazy
nass,wet
wahr,true
bestimmt,definitely
eigentlich,actually
erwischt,got/caught you
ganzes,whole
schuld,fault
auch,too
wahrheit,truth
passiert,happened
arger,trouble
auf dich ,for you
draussen ,outside
noch,still
beeil dich ,hurry up
nachdem,goes away
ganz,quite
vokabeltest,vocabulary test
anfegangen,start
mehr ,more
verschwinden,disappear
bessrung,get well soon
bestimmt,definitely
unterricht,instruction
schlimmer,worse
angekundigt, as announced
note,mark/grade
zahlt,count
zeugnisnote,school report
halte,bear /hold
nicht mehr ,anymore
tiele,handing
gelegehenheit,opportunity
viel erfolg,good luck
zuruckhelten,hold back
pupsen,fart
dringend,urgently
ware,would be
schaffe,manage
versuchen,try
eklig,nasty
gemein,mean
ruhe,alone
blieb stehen,stay
weiter ,continue
jedem,each/everyone
weider,back(come)
anderen,others
auslachen,laugh
sonst,otherwise
deutlich,clear
nett,kind
irgendetwas,anything
look,suchen
verwendet,used
check,überprüfen
angst,fear
erwischt,caught
mutig,brave
geld,money
liesten,afford
taschengeld,pocketmoney
bekommst ,get (money)
verdiene,earn
eigenes,own
gefragt,asked
unnotig,unnecessary
soweiso,anyway
sparen,save
schwarzfahren,travel without paying
ich weiss nicht ,i don't know
zeig,show
verpflichtet,committed/obliged
strafe,fine
heraus,out
stimmt nicht ,wrong
verruckt, crazy
sonst ,otherwise
wahl,choice
andere,another
schlauste,smart
blieben ,stayed ,remained
geschlossen,locked
wahrscheinlich,probably
gedacht,thought
seltsames,strange
wird,will
offnen,open
reden,talk
erstmal,now
vorschlag,suggestion
gespannt,curious
zahlen,pay
leicht glauble ,gullible
vertraue ,trust
wirklich,really
ausserdem,besides
du ** dabei ,with you
sonst,otherwise
wieder,again
vorher,before /previously
uberlegen,thought
gemein,mean
gefangnis,prison
dasselbe,same
was ist los ,whats going on
gefangnis,prison
besuchen,visit
entfuher,kidnnaper
ach ja ,stimmt ,oh yea,right
ich freue mich ,i'm happy
draussen,outside
auf dich ,for you
zieh,change
steh,get up
beeil,hurry
besuchstermin,appointment
vermisst ,missed
bestimmt ,surely
umziehen,change
der nahe ,near by
worauf,what
gewartet ,wait
ubertreibst,exaggerating
ganze zeit ,whole time /all along
verruckt,crazy
endlich ,finally
eigentlich,actually
lustige,fun
reagieren,react
wir sind da ,we are there
durch,through
bei dir,with you
irgendetwas,anything
seltsam,strange
anderen ,different /another
echt ,really
darfst,may
folg mir ,follow me
entlang,way
abgenommen,took away/removed
daruber ,about that
begleite,accompanying
beim,at the
wichtig,important
kennst,know
schreckliche,horrible
nerviges,annoying
leisten,afford/keep
angst,angry
albern,ridiculuos
wissen,know
ruhe,quiet
verruckte,crazy/lunatic
weinen,cry
beschutzt,protect
erinnerst,remember
geklaut,stolen
selbst,own
schuld,fault
fehlern,mistake
steke,put
holt,get
raus,out
wahr,true
traum,dream
erfahrst,know
bessern,change
verhalten,change
sauer,angry
einverstanden,agreed
erwishen,catch
spanned,exciting
fertig,finished
jemand,someone
beeilen,hurry
bevor,before
unbedingt,desperately need
rausfinden ,find it out
arger,trouble
sonst,otherwise
verstecken,hide
erschrocken,scared
kirmes,funfair
schlecht,bad
genug,enough
gespart,saved
stolz,proud
auch ,also
eindruck,impression
ausstegen,get out
steigen ,get in
geben geld ,spend money
einkaufszentrum ,shopping mall
reinsgehen ,get in
laden,store
zeigen,show
bloss,just
schrecklich,terrible
fuhle ,feel
stohlen,stole
ernst,serious
tragst,wear
wahrheit ,truth
schlechtes,bad
gewissen,conscine
alleine,alone
du arme ,poor you
bereit,ready
andere,other
wahl,choice
einfach,simply/easy
geklaut,stole
furchtbar,terrible
erzahl,tell
reagiert,react
wissen die ,do they know?
trauriges,sad
verloren,lost
gespart,saved
geschenk,gift
strafen,punish
geh,go
zeugnisse,school report
noten,marks
traumst,dream
aufstehen,stand up
gespannt,curious
hasse,hate
umziehen,change
nur,just/only
wenn,if
abgemacht,agreed
bekommst,get
erstmal,first
vorne,in fron of
nachdem,after
durfen,maybe
hole,pick /get
klingen,bell
schnell,fast/quickly
heineingehen,go inside
grund,reason
verspatung,delay
langsam,slowly
bestimmt,surely
sicher,sure?
verteilen,distribute
schlechteste,worst
kummere,care /worry
